MOVIE_NAME,ACTOR
Avengers:Age of Ultron,Idris Elba
Avengers:Age of Ultron,Stellan Skarsgard
Avengers:Age of Ultron,Samuel L. Jackson
Avengers:Age of Ultron,Josh Brolin
Avengers:Age of Ultron,Andy Serkis*
Inside Out,Mindy Kaling
Inside Out,Diane Lane
Furious 7,Tony Jaa
Furious 7,Vin Diesel
Furious 7,Paul Walker
Furious 7,Dwayne Johnson
Furious 7,Michelle Rodriguez
Furious 7,Jordana Brewster
Furious 7,Tyrese Gibson
Furious 7,Chris 'Ludacris' Bridges
Furious 7,Lucas Black
Furious 7,Jason Statham
Furious 7,Kurt Russell
Minions,Sandra Bullock
Minions,Jon Hamm
Minions,Michael Keaton
Minions,Steve Coogan
The Hunger Games:Mockingjay - Part 2,Jennifer Lawrence
The Hunger Games:Mockingjay - Part 2,Josh Hutcherson
The Hunger Games:Mockingjay - Part 2,Liam Hemsworth
The Hunger Games:Mockingjay - Part 2,Woody Harrelson
The Hunger Games:Mockingjay - Part 2,Philip Seymour Hoffman
The Hunger Games:Mockingjay - Part 2,Julianne Moore
The Hunger Games:Mockingjay - Part 2,Elizabeth Banks
The Hunger Games:Mockingjay - Part 2,Jena Malone
The Hunger Games:Mockingjay - Part 2,Jeffrey Wright
The Hunger Games:Mockingjay - Part 2,Stanley Tucci
The Martian,Sean Bean
The Martian,Jessica Chastain
The Martian,Matt Damon
The Martian,Chiwetel Ejiofor
The Martian,Kristen Wiig
Cinderella (2015),Cate Blanchett
Cinderella (2015),Helena Bonham Carter
Cinderella (2015),Stellan Skarsgard
Spectre,Daniel Craig
Spectre,Christoph Waltz
Spectre,Ralph Fiennes
Spectre,Monica Bellucci
Spectre,Ben Whishaw
Spectre,Naomie Harris
Mission:Impossible - Rogue Nation,Tom Cruise
Mission:Impossible - Rogue Nation,Jeremy Renner
Mission:Impossible - Rogue Nation,Simon Pegg
Mission:Impossible - Rogue Nation,Alec Baldwin
Pitch Perfect 2,Anna Kendrick
Pitch Perfect 2,Rebel Wilson
Pitch Perfect 2,Adam DeVine
Pitch Perfect 2,Hailee Steinfeld
Pitch Perfect 2,Elizabeth Banks
The Revenant,Leonardo DiCaprio
The Revenant,Tom Hardy
The Revenant,Lukas Haas
Ant-Man,Chris Evans*
Ant-Man,Anthony Mackie*
Ant-Man,Paul Rudd
Ant-Man,Michael Douglas
Ant-Man,Evangeline Lilly
Ant-Man,John Slattery
Home (2015),Rihanna
Home (2015),Steve Martin
Home (2015),Jennifer Lopez
Hotel Transylvania 2,Selena Gomez
Hotel Transylvania 2,Kevin James
Hotel Transylvania 2,Rob Riggle
Hotel Transylvania 2,Andy Samberg
Hotel Transylvania 2,Adam Sandler
Hotel Transylvania 2,Robert Smigel
Hotel Transylvania 2,David Spade
Hotel Transylvania 2,Nick Swardson
The SpongeBob Movie:Sponge Out of Water,Antonio Banderas
San Andreas,Paul Giamatti
San Andreas,Ioan Gruffudd
San Andreas,Dwayne Johnson
Mad Max:Fury Road,Tom Hardy
Mad Max:Fury Road,Charlize Theron
Mad Max:Fury Road,Nicholas Hoult
Mad Max:Fury Road,Rosie Huntington-Whiteley
Daddy's Home,Thomas Haden Church
Daddy's Home,Will Ferrell
Daddy's Home,Mark Wahlberg
The Divergent Series:Insurgent,Shailene Woodley
The Divergent Series:Insurgent,Theo James
The Divergent Series:Insurgent,Kate Winslet
The Divergent Series:Insurgent,Jai Courtney
The Divergent Series:Insurgent,Ray Stevenson
The Divergent Series:Insurgent,Miles Teller
The Divergent Series:Insurgent,Ansel Elgort
The Divergent Series:Insurgent,Naomi Watts
Kingsman:The Secret Service,Colin Firth
Kingsman:The Secret Service,Samuel L. Jackson
Kingsman:The Secret Service,Michael Caine
Kingsman:The Secret Service,Taron Egerton
Kingsman:The Secret Service,Mark Strong
Kingsman:The Secret Service,Sophie Cookson
Kingsman:The Secret Service,Mark Hamill
The Good Dinosaur,Frances McDormand
The Good Dinosaur,Anna Paquin
The Good Dinosaur,Jeffrey Wright
Spy,Melissa McCarthy
Spy,Jason Statham
Spy,Jude Law
Spy,Rose Byrne
Spy,50 Cent
Trainwreck,John Cena
Trainwreck,Brie Larson
Trainwreck,Ezra Miller
Trainwreck,Daniel Radcliffe
Trainwreck,Marisa Tomei
Trainwreck,Tilda Swinton
Creed,Michael B. Jordan
Creed,Sylvester Stallone
Creed,Tessa Thompson
Tomorrowland,George Clooney
Tomorrowland,Hugh Laurie
Get Hard,Will Ferrell
Get Hard,Kevin Hart
Get Hard,Craig T. Nelson
Terminator:Genisys,Arnold Schwarzenegger
Terminator:Genisys,Jai Courtney
Taken 3,Liam Neeson
Taken 3,Famke Janssen
Taken 3,Forest Whitaker
Sisters,Tina Fey
Sisters,John Leguizamo
Sisters,John Cena
Alvin and the Chipmunks:The Road Chip,Christina Applegate
Alvin and the Chipmunks:The Road Chip,Kaley Cuoco
Alvin and the Chipmunks:The Road Chip,Anna Faris
Alvin and the Chipmunks:The Road Chip,Justin Long
Alvin and the Chipmunks:The Road Chip,Bella Thorne
Ted 2,Mark Wahlberg
Ted 2,Seth MacFarlane
Ted 2,Amanda Seyfried
Ted 2,Morgan Freeman
Ted 2,Liam Neeson
Goosebumps,Jack Black
Pixels,Adam Sandler
Pixels,Kevin James
Pixels,Josh Gad
Pixels,Michelle Monaghan
Pixels,Brian Cox
Paddington,Sally Hawkins
Paddington,Nicole Kidman
Paddington,Ben Whishaw
Paddington,Jim Broadbent
The Intern,Robert DeNiro
The Intern,Anne Hathaway
The Intern,Rene Russo
Bridge of Spies,Jesse Plemons
Bridge of Spies,Mark Rylance
Bridge of Spies,Tom Hanks
Bridge of Spies,Amy Ryan
Bridge of Spies,Alan Alda
Paul Blart:Mall Cop 2,Kevin James
The Big Short,Selena Gomez*
The Big Short,Margot Robbie*
The Big Short,Christian Bale
The Big Short,Steve Carell
The Big Short,Ryan Gosling
The Big Short,Brad Pitt
The Big Short,Melissa Leo
The Big Short,Marisa Tomei
Magic Mike XXL,Amber Heard
Magic Mike XXL,Channing Tatum
Magic Mike XXL,Jada Pinkett-Smith
The Wedding Ringer,Kevin Hart
The Wedding Ringer,Josh Gad
The Wedding Ringer,Kaley Cuoco
The Wedding Ringer,Olivia Thirlby
Black Mass,Jesse Plemons
Black Mass,Johnny Depp
Black Mass,Benedict Cumberbatch
Black Mass,Juno Temple
Black Mass,Kevin Bacon
Black Mass,Adam Scott
Vacation,Ed Helms
Vacation,Leslie Mann
Vacation,Christina Applegate
Vacation,Chris Hemsworth
The Perfect Guy,Sanaa Lathan
The Perfect Guy,Michael Ealy
The Perfect Guy,Morris Chestnut
Joy,Bradley Cooper
Joy,Robert DeNiro
Joy,Jennifer Lawrence
Joy,Virginia Madsen
Joy,Edgar Ramirez
Joy,Elisabeth Rohm
Fantastic Four,Miles Teller
Fantastic Four,Michael B. Jordan
Fantastic Four,Jamie Bell
The Hateful Eight,Samuel L. Jackson
The Hateful Eight,Kurt Russell
The Hateful Eight,Channing Tatum
Focus (2015),Will Smith
Focus (2015),Margot Robbie
Southpaw,Jake Gyllenhaal
Southpaw,Forest Whitaker
Southpaw,Rachel McAdams
Southpaw,50 Cent
Southpaw,Naomie Harris
Poltergeist (2015),Sam Rockwell
Poltergeist (2015),Rosemarie DeWitt
Poltergeist (2015),Jared Harris
Jupiter Ascending,Channing Tatum
Jupiter Ascending,Mila Kunis
Jupiter Ascending,Eddie Redmayne
Jupiter Ascending,Sean Bean
Sicario,Emily Blunt
Sicario,Benicio Del Toro
Sicario,Josh Brolin
The Man From U.N.C.L.E.,Elizabeth Debicki
The Man From U.N.C.L.E.,Henry Cavill
The Man From U.N.C.L.E.,Armie Hammer
The Man From U.N.C.L.E.,Hugh Grant
The Man From U.N.C.L.E.,Jared Harris
Spotlight,Mark Ruffalo
Spotlight,Michael Keaton
Spotlight,Rachel McAdams
Spotlight,Liev Schreiber
Spotlight,Stanley Tucci
Spotlight,John Slattery
"McFarland, USA",Maria Bello
"McFarland, USA",Kevin Costner
The Gift (2015),Jason Bateman
The Gift (2015),Rebecca Hall
Everest (2015),Josh Brolin
Everest (2015),Elizabeth Debicki
Everest (2015),Jake Gyllenhaal
Everest (2015),Keira Knightley
The Night Before,Seth Rogen
