MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
Minimalism:A Documentary About the Important Things,0,0,0,Documentary,2016-05-24 00:00:00
Dheepan,20249,0,0,Crime Drama,2016-05-06 00:00:00
The Innocents,30896,0,0,Drama,2016-07-01 00:00:00
The Invitation,67877,0,0,Horror Thriller,2016-04-08 00:00:00
Jimmy Vestvood:Amerikan Hero,60860,0,0,Comedy,2016-05-13 00:00:00
Ho Mann Jahaan,77548,0,0,Musical,2016-01-01 00:00:00
Kaptaan,109993,0,0,Comedy / Drama,2016-05-20 00:00:00
El Clan,12519,20180768,0,Crime Thriller,2016-03-18 00:00:00
The Masked Saint,123839,0,0,Drama,2016-01-08 00:00:00
Viva,48995,0,0,Drama,2016-04-29 00:00:00
The Wave,60321,0,0,Action Drama,2016-03-04 00:00:00
Vaxxed:From Cover-Up to Catastrophe,28339,0,0,Documentary,2016-04-01 00:00:00
Louder than Bombs,24259,0,0,Drama,2016-04-08 00:00:00
Beauty and the Beast (2016 re-issue),8264,0,0,Fantasy,2016-02-12 00:00:00
Born to be Blue,14069,0,0,Drama,2016-03-04 00:00:00
De Palma,30355,0,0,Documentary,2016-06-10 00:00:00
Touched with Fire,16816,0,0,Drama,2016-02-12 00:00:00
Krisha,9880,0,0,Drama,2016-03-18 00:00:00
Sunset Song,12995,0,0,Drama,2016-05-13 00:00:00
Psycho-Pass:The Movie,0,0,0,Animation,2016-03-15 00:00:00
Eat That Question:Frank Zappa in His Own Words,16695,0,0,Documentary,2016-06-24 00:00:00
Tumbledown,7331,0,0,Comedy / Drama,2016-02-05 00:00:00
The Witness,14523,0,0,Documentary,2016-06-03 00:00:00
Captain Fantastic,93824,0,0,Drama,2016-07-08 00:00:00
The Fits,10602,0,0,Drama,2016-06-03 00:00:00
Chimes at Midnight (2016 re-release),20480,0,0,Comedy / Drama,2016-01-01 00:00:00
Spirits' Homecoming,10012,0,0,Drama,2016-03-11 00:00:00
A War,9095,0,0,Drama,2016-02-12 00:00:00
Eva Hesse,12780,0,0,Documentary,2016-04-27 00:00:00
Hockney,13683,0,0,Documentary,2016-04-22 00:00:00
Three,58196,0,0,Action Thriller,2016-06-24 00:00:00
Caged No More,69372,0,0,Drama / Thriller,2016-01-22 00:00:00
The Measure of a Man,10011,0,0,Drama,2016-04-15 00:00:00
Requiem for the American Dream,0,0,0,Documentary,2016-01-29 00:00:00
Aferim!,15892,0,0,Comedy / Drama,2016-01-22 00:00:00
Dictator,30593,0,0,Action,2016-01-13 00:00:00
