MOVIE_NAME,DIRECTOR
Earth to Echo,Dave Green
Sex Tape,Jake Kasdan
Wild (2014),Jean-Marc Vallee
Million Dollar Arm,Craig Gillespie
This is Where I Leave You,Shawn Levy
The Gambler,Rupert Wyatt
Nightcrawler,Dan Gilroy
Chef,Jon Favreau
Get On Up,Tate Taylor
3 Days to Kill,McG
Deliver Us From Evil,Scott Derrickson
When the Game Stands Tall,Thomas Carter
Draft Day,Ivan Reitman
Oculus,Mike Flanagan
The Best of Me,Michael Hoffman
A Walk Among the Tombstones,Scott Frank
That Awkward Moment,Tom Gormican
Boyhood,Richard Linklater
Top Five,Chris Rock
The November Man,Roger Donaldson
Endless Love (2014),Shana Feste
Pompeii,Paul W.S. Anderson
Transcendence,Wally Pfister
As Above/So Below,John Erick Dowdle
Brick Mansions,Camille Delamarre
"I, Frankenstein",Stuart Beattie
The Legend of Hercules,Renny Harlin
Addicted,Bille Woodruff
A Haunted House 2,Michael Tiddes
A Most Wanted Man,Anton Corbijn
Tyler Perry's The Single Moms Club,Tyler Perry
And So It Goes,Rob Reiner
Step Up All In,Trish Sie
Beyond the Lights,Gina Prince-Bythewood
Big Eyes,Tim Burton
America (2014),Dinesh D'Souza
America (2014),John Sullivan
Left Behind (2014),Vic Armstrong
Frank Miller's Sin City:A Dame to Kill For,Frank Miller
Frank Miller's Sin City:A Dame to Kill For,Robert Rodriguez
Labor Day,Jason Reitman
Whiplash,Damien Chazelle
Winter's Tale,Akiva Goldsman
Foxcatcher,Bennett Miller
The Drop,Michael Roskam
Magic in the Moonlight,Woody Allen
Sabotage (2014),David Ayer
Moms' Night Out,Andrew Erwin
Moms' Night Out,Jon Erwin
The Quiet Ones,John Pogue
Legends of Oz:Dorothy's Return,Will Finn
Legends of Oz:Dorothy's Return,Dan St. Pierre
Inherent Vice,Paul Thomas Anderson
Vampire Academy,Mark S. Waters
Bad Words,Jason Bateman
The Interview (2014),Evan Goldberg
The Interview (2014),Seth Rogen
A Most Violent Year,J.C. Chandor
Cesar Chavez,Diego Luna
The Skeleton Twins,Craig Johnson
The Wind Rises,Hayao Miyazaki
Mr. Turner,Mike Leigh
Calvary,John Michael McDonagh
