MOVIE_NAME,PRODUCER
Blackhat,Atticus Ross
Mortdecai,Johnny Depp
Mortdecai,Andrew Lazar
Mortdecai,Gigi Pritzker
Mortdecai,Mark Ronson
Mortdecai,Geoff Zanelli
While We're Young,Noah Baumbach
While We're Young,Scott Rudin
While We're Young,James Murphy
Our Brand Is Crisis (2015),Sandra Bullock
Our Brand Is Crisis (2015),George Clooney
Our Brand Is Crisis (2015),Grant Heslov
Little Boy,Mark Burnett
The Loft,Steve Golin
Victor Frankenstein,John Davis
True Story,Dede Gardner
True Story,Jeremy Kleiner
True Story,Brad Pitt
Suffragette,Alexandre Desplat
The Water Diviner,Brett Ratner
Anomalisa,Carter Burwell
We Are Your Friends,Tim Bevan
We Are Your Friends,Eric Fellner
Chi-Raq,Spike Lee
Truth,Brian Tyler
My All American,John Paesano
Jem and the Holograms,Jason Blum
Jem and the Holograms,Scooter Braun
Jem and the Holograms,Jon Chu
Cake,Jennifer Aniston
Cake,Mark Canton
Cake,Christophe Beck
Legend,Carter Burwell
Infinitely Polar Bear,Theodore Shapiro
Child 44,Ridley Scott
Child 44,Greg Shapiro
Black Sea,Ilan Eshkeri
The Overnight,Mark Duplass
The Overnight,Adam Scott
Tangerine,Jay Duplass
Tangerine,Mark Duplass
Red Army,Christophe Beck
Freeheld,Michael Shamberg
Freeheld,Stacey Sher
Freeheld,Hans Zimmer
By the Sea,Angelina Jolie
By the Sea,Brad Pitt
Brotherly Love,Queen Latifah
Listen to Me Marlon,R.J. Cutler
Good Kill,Christophe Beck
Wolf Totem,James Horner
Stonewall (2015),Roland Emmerich
Time Out of Mind,Richard Gere
The Last 5 Years,Richard LaGravenese
Z for Zachariah,Tobey Maguire
Digging for Fire,Jake Johnson
Digging for Fire,Joe Swanberg
Only You,Rachel Portman
Shanghai,Barry Mendel
Amira & Sam,James Ponsoldt
Just Before I Go,Courteney Cox
Still Life (2015),Rachel Portman
Area 51,Jason Blum
Area 51,Oren Peli
Area 51,Steven Schneider
American Sniper,Bradley Cooper
American Sniper,Clint Eastwood
American Sniper,Jason Dean Hall
American Sniper,Andrew Lazar
American Sniper,Robert Lorenz
American Sniper,Tim Moore
The Hunger Games:Mockingjay - Part 1,Suzanne Collins
The Hunger Games:Mockingjay - Part 1,Nina Jacobson
The Hunger Games:Mockingjay - Part 1,Jon Kilik
The Hunger Games:Mockingjay - Part 1,James Newton Howard
Guardians of the Galaxy,Kevin Feige
Guardians of the Galaxy,Louis D'Esposito
Guardians of the Galaxy,Victoria Alonso
Guardians of the Galaxy,Alan Fine
Guardians of the Galaxy,Stan Lee
Guardians of the Galaxy,Nikolas Korda
Guardians of the Galaxy,Tyler Bates
Captain America:The Winter Soldier,Victoria Alonso
Captain America:The Winter Soldier,Louis D'Esposito
Captain America:The Winter Soldier,Kevin Feige
Captain America:The Winter Soldier,Alan Fine
Captain America:The Winter Soldier,Michael Grillo
Captain America:The Winter Soldier,Stan Lee
Captain America:The Winter Soldier,Henry Jackman
The LEGO Movie,Doug Davison
The LEGO Movie,Roy Lee
The LEGO Movie,Dan Lin
The LEGO Movie,Mark Mothersbaugh
The Hobbit:The Battle of the Five Armies,Peter Jackson
The Hobbit:The Battle of the Five Armies,Fran Walsh
The Hobbit:The Battle of the Five Armies,Howard Shore
Transformers:Age of Extinction,Michael Bay
Transformers:Age of Extinction,Ian Bryce
Transformers:Age of Extinction,Tom DeSanto
Transformers:Age of Extinction,Lorenzo di Bonaventura
Transformers:Age of Extinction,Don Murphy
Transformers:Age of Extinction,Steven Spielberg
Transformers:Age of Extinction,Mark Vahradian
Transformers:Age of Extinction,Steve Jablonsky
Maleficent,Don Hahn
Maleficent,Angelina Jolie
Maleficent,Joe Roth
Maleficent,James Newton Howard
X-Men:Days of Future Past,Lauren Schuler Donner
X-Men:Days of Future Past,Simon Kinberg
X-Men:Days of Future Past,Stan Lee
X-Men:Days of Future Past,Hutch Parker
X-Men:Days of Future Past,Bryan Singer
X-Men:Days of Future Past,John Ottman
Big Hero 6,John Lasseter
Big Hero 6,Henry Jackman
Dawn of the Planet of the Apes,Mark Bomback
Dawn of the Planet of the Apes,Peter Chernin
Dawn of the Planet of the Apes,Dylan Clark
Dawn of the Planet of the Apes,Thomas M. Hammel
Dawn of the Planet of the Apes,Rick Jaffa
Dawn of the Planet of the Apes,Amanda Silver
Dawn of the Planet of the Apes,Michael Giacchino
The Amazing Spider-Man 2,Avi Arad
The Amazing Spider-Man 2,Alex Kurtzman
The Amazing Spider-Man 2,Roberto Orci
The Amazing Spider-Man 2,Junkie XL
The Amazing Spider-Man 2,Hans Zimmer
Godzilla (2014),Jon Jashni
Godzilla (2014),Mary Parent
Godzilla (2014),Brian Rogers
Godzilla (2014),Thomas Tull
Godzilla (2014),Alexandre Desplat
22 Jump Street,Reid Carolin
22 Jump Street,Jonah Hill
22 Jump Street,Phil Lord
22 Jump Street,Chris Miller (II)
22 Jump Street,Neal H. Moritz
22 Jump Street,Channing Tatum
22 Jump Street,Mark Mothersbaugh
Teenage Mutant Ninja Turtles (2014),Michael Bay
Teenage Mutant Ninja Turtles (2014),Ian Bryce
Teenage Mutant Ninja Turtles (2014),Andrew Form
